PLU;Nombre;Ventas_Total
"4709";"PACK ESCUDO X 6 UNDS 470CC";"35"
"4775";"PACK X6 CERVEZA MILLER BOTELLIN 330CC";"6"
"4863";"CERVEZA KROSS GOLDEN 330 X4";"18"
"4803";"PACK CRISTAL CERO X 6 UNDS 350 CC";"19"
"4879";"PACK X 4 CERVEZA KUNSTMANN TOROBAYO ";"24"
"4103";"PACK CERVEZA CRISTAL LAGER LATA 6 X 470CC";"17"
"4880";"PACK CERVEZA KUNSTMANN BOCK X 4 UNDS";"4"
"4644";"SIX PACK LEMON STONES LATA 350 CC";"24"
"40200";"PACK BOT ROYAL 6X330CC";"58"
"98754";"PACK 6 CRISTAL CERO RADLER 350CC";"24"
"5011179";"PACK KUNSTMANN S/ALCOHOL 4X330CC";"13"
"40207";"PACK CERVEZ KROSS STOUT 4X330ML";"6"
"5011012";"PACK CERVEZA CRISTAL CERO RADLER BOT 355CC";"22"
"4896";"PACK CERVEZA KUNSTMANN LAGER X 4 UNDS 330CC";"4"
