PLU;Nombre;Ventas_Total
"335";"QUEQUE NUEZ 500 GRS APROX";"35"
"22051";"PIE DE LIMON INDIVIDUAL";"212"
"22112";"PASTEL  SELVA VALDIVIANA IND.";"44"
"22246";"PASTEL PINO HUACHO IND.";"33"
"800006090";"PACK X6 NECTAR ANDINA MULTI FRUTILLA 200CC";"6"
"800005959";"SIX PACK CERVEZA CORONA CERO 330 ML";"24"
"800005471";"PACK X4 CERV KUNSTMANN VALDIVIA 473 CC LATA";"404"
"8852";"QUESO ROBLE TZ";"53.862"
"800004898";"SIX PACK LEMON STONE MANGO LATA 350CC";"18"
"800004852";"PACK X4 CERVEZA KUNSTMANN TOROBAYO LATA 470CC";"332"
"8812";"QUESO RIO CRUCES TZ";"133.004"
"8802";"QUESO LAS PARCELAS TZ";"100.59599999999999"
"16013";"PAN MOLDE BLANCO ";"71"
"800004391";"SIX PACK LEMON STONES MARACUYA LATA 350 CC";"28"
"800001219";"PACK X6 CERVEZA ROYAL LATA 470 CC";"27"
"800003289";"PACK X6 CERVEZA STELLA ARTOIS 473 CC";"33"
"800003202";"PACK 4 UNDS CERVEZA KROSS 5 ANOS 330 CC";"1"
"800003041";"PACK CERV. CUSQUENA LATA GOLD 473ML X6";"58"
"800003004";"PACK X6 CERV BUDWEISER 473CC LATA";"80"
"800002863";"PACK X 10 CHOCOLATE KINDER MAXI 21GR";"25"
"5469";"PACK X6 NECTAR ANDINA PINA 200CC";"2"
"800002464";"PACK X6 NECTAR ANDINA MANZANA 200CC";"9"
"5464";"PACK X6 NECTAR ANDINA NARANJA 200CC";"11"
"5433";"PACK X6 NECTAR ANDINA DURAZNO 200CC";"4"
"164";"PAN INTEGRAL pnd";"279.427"
"60568";"PAN PITA INTEGRAL";"368.67500000000007"
"800001072";"PACK X6 CERVEZA COORS LATA 470CC";"17"
"800001040";"PACK X6 CERVEZA HEINEKEN 470CC LATA";"76"
"914";"PAN COPIHUE FABR PROPIA";"447.999"
"922";"PAN BAGUETTE FABR PROPIA";"264"
"16037";"PAN PITA";"433.1570000000001"
"800000262";"PACK CORONA 330 ML X 6 UNDS";"30"
"700045";"CERVEZA COORS 1873 X 6 355CC";"18"
"778431988";"PACK CERVEZA KUNSTMANN IPA 330 CCX4";"2"
"4952";"PACK 4 UNDS KROSS MAIBOCK 330CC";"12"
"778431916";"PACK X 4 CERVEZA KUNSTMANN 330CC MIEL ";"4"
"778433253";"PACK X6 CERVEZA QUILMES LATA 473CC";"100"
"778432547";"PACK CERVEZA HEINEKEN S/ALCOHOL 6X330CC";"38"
"4955";"PACK 4 UND KROSS PILSNER 330CC";"3"
"4893";"PACK BOT CRISTAL CERO X 6 UNDS 355 ML";"21"
"4709";"PACK ESCUDO X 6 UNDS 470CC";"38"
"4775";"PACK X6 CERVEZA MILLER BOTELLIN 330CC";"6"
"4863";"CERVEZA KROSS GOLDEN 330 X4";"18"
"4803";"PACK CRISTAL CERO X 6 UNDS 350 CC";"22"
"4879";"PACK X 4 CERVEZA KUNSTMANN TOROBAYO ";"24"
"4103";"PACK CERVEZA CRISTAL LAGER LATA 6 X 470CC";"21"
"4880";"PACK CERVEZA KUNSTMANN BOCK X 4 UNDS";"6"
"4644";"SIX PACK LEMON STONES LATA 350 CC";"27"
"40200";"PACK BOT ROYAL 6X330CC";"64"
"98754";"PACK 6 CRISTAL CERO RADLER 350CC";"30"
"5011179";"PACK KUNSTMANN S/ALCOHOL 4X330CC";"13"
"40207";"PACK CERVEZ KROSS STOUT 4X330ML";"6"
"5011012";"PACK CERVEZA CRISTAL CERO RADLER BOT 355CC";"24"
"4896";"PACK CERVEZA KUNSTMANN LAGER X 4 UNDS 330CC";"5"
